Sample	Reference	Paired	Condition	Experiment	OutputDir	PoolCountFile	Person	Date	Mutant Library	Media	Format	Temperature	pH	Shaking	StartOD	EndOD	Hours	Notes	SetName	Group	Index	short	Condition_1
Buoy_T40_C	Buoy_T0_C	TRUE	Fitness_During_Lipid_Accumulation	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40		setC	TAG_Metabolism	Buoy_T40	Fitness_During_Lipid_Accumulation	Fitness_During_Lipid_Accumulation
Buoy_Y40_A	Buoy_YPD_T0_A	TRUE	Fitness_In_Low_Lipid_Control	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	YPD	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40		setC	TAG_Metabolism	Buoy_Y40	Fitness_In_Low_Lipid_Control	Fitness_In_Low_Lipid_Control
Buoy_Y40_B	Buoy_YPD_T0_B	TRUE	Fitness_In_Low_Lipid_Control	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	YPD	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40		setC	TAG_Metabolism	Buoy_Y40	Fitness_In_Low_Lipid_Control	Fitness_In_Low_Lipid_Control
Buoy_Y40_C	Buoy_YPD_T0_C	TRUE	Fitness_In_Low_Lipid_Control	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	YPD	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40		setC	TAG_Metabolism	Buoy_Y40	Fitness_In_Low_Lipid_Control	Fitness_In_Low_Lipid_Control
Buoy_M48_A	Buoy_T0_A	TRUE	Fitness_During_Lipid_Mobilization	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88		setC	TAG_Metabolism	Buoy_M48	Fitness_During_Lipid_Mobilization	Fitness_During_Lipid_Mobilization
Buoy_M48_B	Buoy_T0_B	TRUE	Fitness_During_Lipid_Mobilization	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88		setC	TAG_Metabolism	Buoy_M48	Fitness_During_Lipid_Mobilization	Fitness_During_Lipid_Mobilization
Buoy_M48_C	Buoy_T0_C	TRUE	Fitness_During_Lipid_Mobilization	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88		setC	TAG_Metabolism	Buoy_M48	Fitness_During_Lipid_Mobilization	Fitness_During_Lipid_Mobilization
Buoy_40FW_A	Buoy_40FB_A	TRUE	Relative_Buoyancy_After_Lipid_Accumulation	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	High/Low buoyancy fractions of lipid accumulated cells seperated on sucrose density gradients. Top 10% compared to bottom 10%	setC	TAG_Metabolism	Buoy_40FW	Relative_Buoyancy_After_Lipid_Accumulation	Relative_Buoyancy_After_Lipid_Accumulation
Buoy_40FW_B	Buoy_40FB_B	TRUE	Relative_Buoyancy_After_Lipid_Accumulation	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	High/Low buoyancy fractions of lipid accumulated cells seperated on sucrose density gradients. Top 10% compared to bottom 10%	setC	TAG_Metabolism	Buoy_40FW	Relative_Buoyancy_After_Lipid_Accumulation	Relative_Buoyancy_After_Lipid_Accumulation
Buoy_40FW_C	Buoy_40FB_C	TRUE	Relative_Buoyancy_After_Lipid_Accumulation	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	High/Low buoyancy fractions of lipid accumulated cells seperated on sucrose density gradients. Top 10% compared to bottom 10%	setC	TAG_Metabolism	Buoy_40FW	Relative_Buoyancy_After_Lipid_Accumulation	Relative_Buoyancy_After_Lipid_Accumulation
Buoy_Y40_FT_A	Buoy_Y40_FB_A	TRUE	Relative_Buoyancy_Low_Lipid_Control	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	YPD	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	High/Low buoyancy fractions of low lipid control cells seperated on sucrose density gradients. Top 10% compared to bottom 10%	setC	TAG_Metabolism	Buoy_Y40_FT	Relative_Buoyancy_Low_Lipid_Control	Relative_Buoyancy_Low_Lipid_Control
Buoy_Y40_FT_B	Buoy_Y40_FB_B	TRUE	Relative_Buoyancy_Low_Lipid_Control	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	YPD	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	High/Low buoyancy fractions of low lipid control cells seperated on sucrose density gradients. Top 10% compared to bottom 10%	setC	TAG_Metabolism	Buoy_Y40_FT	Relative_Buoyancy_Low_Lipid_Control	Relative_Buoyancy_Low_Lipid_Control
Buoy_Y40_FT_C	Buoy_Y40_FB_C	TRUE	Relative_Buoyancy_Low_Lipid_Control	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	YPD	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	High/Low buoyancy fractions of low lipid control cells seperated on sucrose density gradients. Top 10% compared to bottom 10%	setC	TAG_Metabolism	Buoy_Y40_FT	Relative_Buoyancy_Low_Lipid_Control	Relative_Buoyancy_Low_Lipid_Control
Buoy_M48_FUP_A	Buoy_M48_FB_A	TRUE	Relative_Buoyancy_After_Lipid_Mobilization	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88	"Cultures accumulated lipid 40hrs, then mobilized lipid 48 hrs. High/Low buoyancy fractions seperated on sucrose density gradients. Top 10% compared to bottom 10%"	setC	TAG_Metabolism	Buoy_M48_FUP	Relative_Buoyancy_After_Lipid_Mobilization	Relative_Buoyancy_After_Lipid_Mobilization
Buoy_M48_FUP_B	Buoy_M48_FB_B	TRUE	Relative_Buoyancy_After_Lipid_Mobilization	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88	"Cultures accumulated lipid 40hrs, then mobilized lipid 48 hrs. High/Low buoyancy fractions seperated on sucrose density gradients. Top 10% compared to bottom 10%"	setC	TAG_Metabolism	Buoy_M48_FUP	Relative_Buoyancy_After_Lipid_Mobilization	Relative_Buoyancy_After_Lipid_Mobilization
Buoy_M48_FUP_C	Buoy_M48_FB_C	TRUE	Relative_Buoyancy_After_Lipid_Mobilization	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	2/5/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88	"Cultures accumulated lipid 40hrs, then mobilized lipid 48 hrs. High/Low buoyancy fractions seperated on sucrose density gradients. Top 10% compared to bottom 10%"	setC	TAG_Metabolism	Buoy_M48_FUP	Relative_Buoyancy_After_Lipid_Mobilization	Relative_Buoyancy_After_Lipid_Mobilization
FACS_AllA	FACS_T0A	TRUE	Fitness_During_Lipid_Accumulation_and_FACS_sorting	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	1/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	"Lipid accumulated cells passed through FACS machine with scatter gate, but no BODIPY gate"	setD	TAG_Metabolism	FACS_All	Fitness_During_Lipid_Accumulation_and_FACS_sorting	Fitness_During_Lipid_Accumulation_and_FACS_sorting
FACS_AllB	FACS_T0B	TRUE	Fitness_During_Lipid_Accumulation_and_FACS_sorting	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	1/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	"Lipid accumulated cells passed through FACS machine with scatter gate, but no BODIPY gate"	setD	TAG_Metabolism	FACS_All	Fitness_During_Lipid_Accumulation_and_FACS_sorting	Fitness_During_Lipid_Accumulation_and_FACS_sorting
FACS_AllC	FACS_T0C	TRUE	Fitness_During_Lipid_Accumulation_and_FACS_sorting	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	1/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	"Lipid accumulated cells passed through FACS machine with scatter gate, but no BODIPY gate"	setD	TAG_Metabolism	FACS_All	Fitness_During_Lipid_Accumulation_and_FACS_sorting	Fitness_During_Lipid_Accumulation_and_FACS_sorting
FACS_TopA	FACS_BotA	TRUE	Relative_BODIPY_Signal_After_Lipid_Accumulation	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	1/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	"Lipid accumulated cells FACS sorted on BODIPY signal, top 10% compared to bottom 10%"	setD	TAG_Metabolism	FACS_Top	Relative_BODIPY_Signal_After_Lipid_Accumulation	Relative_BODIPY_Signal_After_Lipid_Accumulation
FACS_TopB	FACS_BotB	TRUE	Relative_BODIPY_Signal_After_Lipid_Accumulation	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	1/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	"Lipid accumulated cells FACS sorted on BODIPY signal, top 10% compared to bottom 10%"	setD	TAG_Metabolism	FACS_Top	Relative_BODIPY_Signal_After_Lipid_Accumulation	Relative_BODIPY_Signal_After_Lipid_Accumulation
FACS_TopC	FACS_BotC	TRUE	Relative_BODIPY_Signal_After_Lipid_Accumulation	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	1/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 3% Glucose, 25 mM KH2PO4, 25 mM Na2HPO4, 7 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	40	"Lipid accumulated cells FACS sorted on BODIPY signal, top 10% compared to bottom 10%"	setD	TAG_Metabolism	FACS_Top	Relative_BODIPY_Signal_After_Lipid_Accumulation	Relative_BODIPY_Signal_After_Lipid_Accumulation
BODIPYMob_AllA	BODIPYMob_T0A	TRUE	Fitness_During_Lipid_Mobilization_and_FACS_Sorting	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88	"Cultures accumulated lipid 40hrs, then mobilized lipid 48 hrs. Passed through FACS machine with scatter gate, but no BODIPY gate"	setE	TAG_Metabolism	BODIPYMob_All	Fitness_During_Lipid_Mobilization_and_FACS_Sorting	Fitness_During_Lipid_Mobilization_and_FACS_Sorting
BODIPYMob_AllB	BODIPYMob_T0B	TRUE	Fitness_During_Lipid_Mobilization_and_FACS_Sorting	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88	"Cultures accumulated lipid 40hrs, then mobilized lipid 48 hrs. Passed through FACS machine with scatter gate, but no BODIPY gate"	setE	TAG_Metabolism	BODIPYMob_All	Fitness_During_Lipid_Mobilization_and_FACS_Sorting	Fitness_During_Lipid_Mobilization_and_FACS_Sorting
BODIPYMob_AllC	BODIPYMob_T0C	TRUE	Fitness_During_Lipid_Mobilization_and_FACS_Sorting	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88	"Cultures accumulated lipid 40hrs, then mobilized lipid 48 hrs. Passed through FACS machine with scatter gate, but no BODIPY gate"	setE	TAG_Metabolism	BODIPYMob_All	Fitness_During_Lipid_Mobilization_and_FACS_Sorting	Fitness_During_Lipid_Mobilization_and_FACS_Sorting
BODIPYMob_AllD	BODIPYMob_T0D	TRUE	Fitness_During_Lipid_Mobilization_and_FACS_Sorting	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88	"Cultures accumulated lipid 40hrs, then mobilized lipid 48 hrs. Passed through FACS machine with scatter gate, but no BODIPY gate"	setE	TAG_Metabolism	BODIPYMob_All	Fitness_During_Lipid_Mobilization_and_FACS_Sorting	Fitness_During_Lipid_Mobilization_and_FACS_Sorting
BODIPYMob_TopA	BODIPYMob_BotA	TRUE	Relative_BODIPY_Signal_After_Lipid_Mobilization	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88	"Cultures accumulated lipid 40hrs, then mobilized lipid 48 hrs. FACS sorted on BODIPY signal, top 10% compared to bottom 10%"	setE	TAG_Metabolism	BODIPYMob_Top	Relative_BODIPY_Signal_After_Lipid_Mobilization	Relative_BODIPY_Signal_After_Lipid_Mobilization
BODIPYMob_TopB	BODIPYMob_BotB	TRUE	Relative_BODIPY_Signal_After_Lipid_Mobilization	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88	"Cultures accumulated lipid 40hrs, then mobilized lipid 48 hrs. FACS sorted on BODIPY signal, top 10% compared to bottom 10%"	setE	TAG_Metabolism	BODIPYMob_Top	Relative_BODIPY_Signal_After_Lipid_Mobilization	Relative_BODIPY_Signal_After_Lipid_Mobilization
BODIPYMob_TopC	BODIPYMob_BotC	TRUE	Relative_BODIPY_Signal_After_Lipid_Mobilization	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88	"Cultures accumulated lipid 40hrs, then mobilized lipid 48 hrs. FACS sorted on BODIPY signal, top 10% compared to bottom 10%"	setE	TAG_Metabolism	BODIPYMob_Top	Relative_BODIPY_Signal_After_Lipid_Mobilization	Relative_BODIPY_Signal_After_Lipid_Mobilization
BODIPYMob_TopD	BODIPYMob_BotD	TRUE	Relative_BODIPY_Signal_After_Lipid_Mobilization	TAG_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Sam Coradetti	3/1/16	RtBC42b	"YNB no Amino Acids or Ammonium Sulfate, 25 mM KH2PO4, 25 mM Na2HPO4, 170 mM NH4Cl"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~10	88	"Cultures accumulated lipid 40hrs, then mobilized lipid 48 hrs. FACS sorted on BODIPY signal, top 10% compared to bottom 10%"	setE	TAG_Metabolism	BODIPYMob_Top	Relative_BODIPY_Signal_After_Lipid_Mobilization	Relative_BODIPY_Signal_After_Lipid_Mobilization
OA_YNB_Gluc_A	OA_T0A	TRUE	YNB_Glucose_Control_for_Oleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	3/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setF	Fatty_Acid_Metabolism	OA_YNB_Gluc	YNB_Glucose_Control_for_Oleic_Acid	YNB_Glucose_Control_for_Oleic_Acid
OA_YNB_Gluc_B	OA_T0B	TRUE	YNB_Glucose_Control_for_Oleic_Acid	Fatty_Acid_Metabolism	CurrentBarSeqResults	BarSeq_AllCurrent/poolCount.txt	Dominic Pinel	3/1/16	RtBC42b	"YNB no Amino Acids 6.7 g/L, 2% Glucose"	100 mL in 250 mL baffled flask	30	7	200 RPM	0.1	~5	12		setF	Fatty_Acid_Metabolism	OA_YNB_Gluc	YNB_Glucose_Control_for_Oleic_Acid	YNB_Glucose_Control_for_Oleic_Acid
